data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1884506,466,MLI2319,2319,6-Oct-18,2018,1,Violence against civilians,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Herders (Mali),7,47,Western Africa,Mali,Mopti,Douentza,Mondoro,Madougou,14.6172,-1.8922,1,Kisal,Other,"On October 6, Dozo militiamen killed a Fulani herder in Madougou (Managou).",1,1539017176,MLI
1884503,466,MLI2316,2316,5-Oct-18,2018,1,Battle-No change of territory,Military Forces of Mali (2013-),,1,Fulani Ethnic Militia (Mali),Herders (Mali),4,14,Western Africa,Mali,Mopti,Koro,Dioungani,Dioungani,14.3156,-2.7403,2,Kisal,Other,"On October 5, Malian soldiers shot dead two armed Fulani youth in the area of Dioungani.",2,1539017176,MLI
1884504,466,MLI2317,2317,5-Oct-18,2018,1,Violence against civilians,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Herders (Mali),7,47,Western Africa,Mali,Mopti,Djenne,Femaye,Koumaga,13.9852,-4.3992,1,Kisal,Other,"On October 5, Dozo militiamen abducted a member of the Fulani community in Koumaga.",0,1539017176,MLI
1884505,466,MLI2318,2318,5-Oct-18,2018,1,Battle-No change of territory,Katiba Macina,,2,Military Forces of Mali (2013-),,1,12,Western Africa,Mali,Mopti,Tenenkou,Toguere Coumbe,Toguere-Koumbe,14.917,-4.595,2,Walid Le Berbere,Other,"On October 5, Katiba Macina militants attacked pirogues escorted by the Malian army between Toguere-Kombe and Diondori (coded as Toguere-Kombe at geoprecision 2), one Malian soldier was killed and others wounded, an unspecified number of assailants were also killed. Unknown fatalies in the ranks of the assailants coded at low estimate of 3.",4,1539017176,MLI
1884499,466,MLI2312,2312,4-Oct-18,2018,1,Violence against civilians,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Herders (Mali),7,47,Western Africa,Mali,Segou,Macina,Folomana,Mbeela,13.6562,-5.0671,2,Menastream,Other,"On October 4, eight Fulani men abducted by Dozos in several localities the day before were found dead and dumped in waterhole in the area of Mbeela, commune of Folomana, Segou Region",8,1539017176,MLI
1884500,466,MLI2313,2313,4-Oct-18,2018,1,Battle-No change of territory,Unidentified Armed Group (Mali),,3,Police Forces of Mali (2013-) Gendarmerie,,1,13,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,Studio Tamani,Local,"On October 4, unknown gunmen attacked the gendarmerie in Goundam, wounding one gendarme.",0,1539017176,MLI
1884501,466,MLI2314,2314,4-Oct-18,2018,1,Violence against civilians,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Herders (Mali),7,47,Western Africa,Mali,Mopti,Tenenkou,Diaka,Diakourou,14.3609,-5.0758,1,Menastream,Other,"On October 4, Dozo militiamen killed six young Fulani in Diakourou.",6,1539017176,MLI
1884502,466,MLI2315,2315,4-Oct-18,2018,1,Violence against civilians,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Gao,Ansongo,Talataye,Talataye,16.533,1.517,2,Studio Tamani; Walid Le Berbere,Other-Local,"On October 4, unknown gunmen opened fire against a communal transport truck 20km east of Ansongo on the transit route to Menaka (coded as Talataye prec2), killing one civilian and wounding another.",1,1539017176,MLI
1884498,466,MLI2311,2311,3-Oct-18,2018,1,Strategic development,Military Forces of Mali (2013-),,1,Unidentified Armed Group (Mali),,3,13,Western Africa,Mali,Mopti,Koro,Koro,Koro,14.0778,-3.0832,1,Studio Tamani; Koro Kibaru,Local,"Defusal: On October 3, a hand grenade was discovered outside the largest school in Koro, a Malian army unit arrived at the site and defused the device.",0,1539017176,MLI
1884496,466,MLI2309,2309,2-Oct-18,2018,1,Battle-No change of territory,Unidentified Armed Group (Mali),,3,Police Forces of Mali (2013-) Gendarmerie,,1,13,Western Africa,Mali,Tombouctou,Goundam,Tonka,Tonka,16.1289,-3.7478,1,Studio Tamani,Local,"On October 2, unknown gunmen attacked the gendarmerie in Tonka, the attack was repelled, although the assailants seized a motorbike, an arm, ammunition and a phone. Some recovered in pursuit.",0,1539017176,MLI
