data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1884517,562,NIR666,666,5-Oct-18,2018,1,Battle-No change of territory,MSA: Movement for Azawad Salvation,Military Forces of France,3,Fulani Ethnic Militia (Niger),Herders (Niger),4,34,Western Africa,Niger,Tillabery,Filingue,Abala,Ekrafane,15.3878,3.5722,2,Kisal,Other,"On October 5, MSA militiamen attacked a Fulani camp near Ekrafane, Fulani militiamen repelled the attack, MSA requested air support from Barkhane who intervened, three women were killed and a child was wounded during the events, it remains unclear if the civilians were killed and wounded by airstrike or RPG rockets.",3,1539017176,NER
1883857,562,NIR665,665,29-Sep-18,2018,1,Violence against civilians,Military Forces of Niger (2011-) Gendarmerie,,1,Civilians (Niger),,7,17,Western Africa,Niger,Tillabery,Tillabery,Ayorou,Ayorou,14.7326,0.9109,1,Menastream,Other,"On September 29, gendarmes opened fire against two youths who failed to stop in Ayorou, killing one of them.",1,1538773383,NER
1883856,562,NIR664,664,27-Sep-18,2018,1,Battle-No change of territory,Unidentified Armed Group (Niger),,3,Military Forces of Niger (2011-) Gendarmerie,,1,13,Western Africa,Niger,Tillabery,Tera,Tera,Manda,14.4329,0.4814,2,Menastream,Other,"On September 27, an unknown gunman aboard a motorbike opened fire against a gendarmerie patrol in the area of Manda, near Bankilare. No casualties reported.",0,1538773383,NER
1883854,562,NIR662,662,25-Sep-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Tillabery,Tillabery,Anzourou,Kofouno,14.486,1.305,2,Menastream,Other,"On September 25, unknown gunmen attacked marketgoers in the area of Kofouno. No casualties reported.",0,1538773383,NER
1883855,562,NIR663,663,25-Sep-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Tillabery,Tillabery,Anzourou,Sangara,14.5411,1.279,2,Menastream,Other,"On September 25, unknown gunmen attacked marketgoers in the area of Sangara. No casualties reported.",0,1538773383,NER
1884132,562,NIR661,661,19-Sep-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Zinder,Tanout,Tanout,Tanout,14.9709,8.8879,1,Ici Niger; Studio Kalangou,Local,"On September 19, residents in Tanout protested against power outages.",0,1538773395,NER
1884130,562,NIR659,659,17-Sep-18,2018,1,Strategic development,Government of Niger (2011-),,1,,,0,10,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,3,Anadolu Agency; Actuniger,National-International,"Security measures: On September 17, the Nigerien government decided to extend the state of emergency by three months in the regions of Diffa, Tillabery (5 departments) and Tahoua (2 departments) counting from September 18.",0,1538773395,NER
1884131,562,NIR660,660,17-Sep-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (International),Aid Workers (Italy); Christian Group (Italy),7,27,Western Africa,Niger,Tillabery,Say,Torodi,Bomanga,12.9747,1.5544,1,Agenzia Fides; VOA,Other-Regional,"On September 17, presumed ISGS militants abducted an Italian priest who also works as an aid worker in the village of Bomanga, not far from the border with Burkina Faso.",0,1538773395,NER
1859732,562,NIR655,655,9-Sep-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,1,Niamey Soir,Subnational,"On September 9, civil society activists and residents in Diffa took to the streets demaning the lifting of the state of emergency, and improved security and infrastructure.",0,1537223010,NER
1859733,562,NIR656,656,9-Sep-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,1,aNiamey,National,"On September 9, thousands of people took the streets of Niamey to protest against the 2018 finance law.",0,1537223010,NER
1884129,562,NIR658,658,7-Sep-18,2018,1,Strategic development,Government of Niger (2011-),,1,Islamic State (Greater Sahara),,2,12,Western Africa,Niger,Tillabery,Bani Bangou,Bani Bangou,Bani Bangou,15.0416,2.7037,1,Menastream,Other,"Agreement: On September 7, 50 ISGS members agreed to lay down arms following a meeting in Banibangou, as part of the reconciliation efforts of the Nigerien government, the former militants will be integrated into the defense and security forces (FDS).",0,1538773395,NER
1884128,562,NIR657,657,5-Sep-18,2018,1,Riots/Protests,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Zinder,Tanout,Tanout,Tanout,14.9709,8.8879,1,Ici Niger; Studio Kalangou,Local,"On September 5, residents in Tanout protested against power outages.",0,1538773395,NER
1756405,562,NIR652,652,3-Sep-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),Government of Niger (2011-),7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Gueskerou,13.4868,12.8497,1,Jeunesse Info; RFI; Urgence Diffa (Facebook),Other-International,"On September 3, presumed ISWAP militants abducted the mother and sister of an official, as well as a merchant, in Gueskerou, the latter was released for ransom.",0,1536611204,NER
1742784,562,NIR651,651,25-Aug-18,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Baroua Gana,Baroua Gana,13.9091,13.1437,1,Urgence Diffa (Facebook),Other,"On August 25, presumed ISWAP militants abducted the village chief of Baroua, he was released the following day.",0,1536004167,NER
1742783,562,NIR650,650,18-Aug-18,2018,1,Battle-No change of territory,Islamic State (Greater Sahara),,2,GATIA: Imghad Tuareg and Allies Self-Defense Group,MSA: Movement for Azawad Salvation,3,23,Western Africa,Niger,Tillabery,Ouallam,Tondikiwindi,Bella Beri,15.1242,1.7712,2,Menastream,Other-Local,"On August 18, ISGS militants clashed with GATIA and MSA militiamen in the area of Bella Beri in Ouallam, near the border (approx coordinates used), no casualties reported.",0,1536004167,NER
